Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,year_received,month_received,dayofweek_received,quarter_received,is_weekend,is_holiday_season,processing_days,same_day_processing,company_complaint_count,company_size,state_complaint_count,product_category,region
Debt Collection,"Other (Phone, Health Club, Etc.)",Communication Tactics,Frequent Or Repeated Calls,MO,64093,Encore Capital Group,Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,0,1,392,enterprise,409,debt,midwest
Credit Reporting,Not Specified,Unable To Get Credit Report/Credit Score,Problem Getting My Free Annual Report,Unknown,98115,Transunion,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,1525,enterprise,421,credit,unknown
Mortgage,Conventional Adjustable Mortgage (Arm),Credit Decision / Underwriting,Not Specified,AZ,85032,Citibank,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,1016,enterprise,578,mortgage,west
Credit Card,Not Specified,Billing Disputes,Not Specified,FL,32224,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,1430,enterprise,2592,credit,south
Bank Account Or Service,Checking Account,Deposits And Withdrawals,Not Specified,FL,33756,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,1430,enterprise,2592,banking,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Right To Dispute Notice Not Received,OH,43004,"Mrs Bpo, L.L.C.",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,13,medium,939,debt,midwest
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Information Is Not Mine,PA,19607,Transunion,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,1525,enterprise,1055,credit,northeast
Bank Account Or Service,Other Bank Product/Service,"Account Opening, Closing, Or Management",Not Specified,FL,33852,Fifth Third Bank,Closed with monetary relief,Yes,No,2015,2,2,1,0,0,6,0,110,large,2592,banking,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NY,10469,Wells Fargo,In progress,Yes,No,2015,2,2,1,0,0,6,0,1430,enterprise,1846,mortgage,northeast
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,Unknown,45342,Equifax,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,2049,enterprise,421,credit,unknown
Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,FL,33146,Seterus,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,111,large,2592,mortgage,south
Mortgage,Conventional Adjustable Mortgage (Arm),"Application, Originator, Mortgage Broker",Not Specified,MD,20723,"Green Tree Servicing, Llc",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,399,enterprise,791,mortgage,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NJ,8875,Wells Fargo,In progress,Yes,No,2015,2,2,1,0,0,6,0,1430,enterprise,1113,mortgage,northeast
Credit Reporting,Not Specified,Unable To Get Credit Report/Credit Score,Problem Getting My Free Annual Report,Unknown,98115,Experian,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,1940,enterprise,421,credit,unknown
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,DC,20002,Round Point Mortgage,In progress,Yes,No,2015,2,2,1,0,0,6,0,26,medium,168,mortgage,south
Bank Account Or Service,Checking Account,Deposits And Withdrawals,Not Specified,CA,90630,U.S. Bancorp,Closed with explanation,Yes,No,2015,2,2,1,0,0,5,0,429,enterprise,3859,banking,west
Bank Account Or Service,Checking Account,Deposits And Withdrawals,Not Specified,MD,21207,Pnc Bank,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,237,enterprise,791,banking,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NJ,8721,Nationstar Mortgage,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,6,0,749,enterprise,1113,mortgage,northeast
Credit Card,Not Specified,Application Processing Delay,Not Specified,DC,20015,Ge Capital Retail,Closed with explanation,Yes,No,2015,2,2,1,0,0,5,0,481,enterprise,168,credit,south
Debt Collection,Credit Card,Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,AZ,85282,Citibank,Closed,Yes,Yes,2015,2,2,1,0,0,0,1,1016,enterprise,578,debt,west
Bank Account Or Service,Checking Account,Using A Debit Or Atm Card,Not Specified,CO,80916,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,7,0,1430,enterprise,483,banking,west
Mortgage,Va Mortgage,Credit Decision / Underwriting,Not Specified,CA,92660,Freedom Mortgage,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,1,0,25,medium,3859,mortgage,west
Credit Card,Not Specified,Closing/Cancelling Account,Not Specified,DC,20015,Citibank,Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,5,0,1016,enterprise,168,credit,south
Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,NY,10463,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,1430,enterprise,1846,banking,northeast
Mortgage,Conventional Fixed Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,CA,92882,"Servis One, Inc.",In progress,Yes,No,2015,2,2,1,0,0,0,1,49,medium,3859,mortgage,west
Mortgage,Home Equity Loan Or Line Of Credit,"Loan Servicing, Payments, Escrow Account",Not Specified,NY,11040,Nationstar Mortgage,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,749,enterprise,1846,mortgage,northeast
Mortgage,Fha Mortgage,Settlement Process And Costs,Not Specified,MO,65619,"Pennymac Loan Services, Llc",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,41,medium,409,mortgage,midwest
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,WI,53144,Transunion,Closed with explanation,Yes,No,2015,2,2,1,0,0,9,0,1525,enterprise,351,credit,midwest
Money Transfers,International Money Transfer,Other Transaction Issues,Not Specified,MT,59801,Western Union,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,66,large,41,other,west
Debt Collection,Payday Loan,False Statements Or Representation,Impersonated An Attorney Or Official,WI,53143,"Advance America, Cash Advance Centers, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,11,medium,351,debt,midwest
Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Servicing, Payments, Escrow Account",Not Specified,MD,21774,Ocwen,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,934,enterprise,791,mortgage,south
Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,AZ,85032,Bbva Compass,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,1,0,39,medium,578,banking,west
Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,FL,34481,Nationstar Mortgage,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,749,enterprise,2592,mortgage,south
Bank Account Or Service,Other Bank Product/Service,Deposits And Withdrawals,Not Specified,FL,33467,Bank Of America,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,1518,enterprise,2592,banking,south
Bank Account Or Service,Other Bank Product/Service,"Account Opening, Closing, Or Management",Not Specified,FL,33444,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,7,0,1430,enterprise,2592,banking,south
Credit Card,Not Specified,Billing Disputes,Not Specified,TX,77383,Bank Of America,Closed with explanation,Yes,No,2015,2,2,1,0,0,5,0,1518,enterprise,2380,credit,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Information Is Not Mine,IN,47714,Experian,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,1940,enterprise,298,credit,midwest
Consumer Loan,Vehicle Loan,Taking Out The Loan Or Lease,Not Specified,AZ,85032,Jpmorgan Chase,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,1,0,1272,enterprise,578,loan,west
Credit Card,Not Specified,Billing Disputes,Not Specified,AZ,85032,Bank Of America,Closed,Yes,Yes,2015,2,2,1,0,0,1,0,1518,enterprise,578,credit,west
Debt Collection,Medical,Disclosure Verification Of Debt,Not Disclosed As An Attempt To Collect,WI,54140,Americollect,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,9,small,351,debt,midwest
Mortgage,Fha Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,GA,30228,Rushmore Loan Management Services Llc,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,38,medium,1146,mortgage,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Information Is Not Mine,CA,92660,Equifax,In progress,Yes,No,2015,2,2,1,0,0,0,1,2049,enterprise,3859,credit,west
Mortgage,Conventional Fixed Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,PA,19114,Hsbc,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,199,large,1055,mortgage,northeast
Credit Card,Not Specified,Bankruptcy,Not Specified,NC,27514,Discover,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,368,enterprise,764,credit,south
Money Transfers,Domestic (Us) Money Transfer,Wrong Amount Charged Or Received,Not Specified,IL,60564,Paypal,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,112,large,1003,other,midwest
Debt Collection,Not Specified,False Statements Or Representation,Impersonated An Attorney Or Official,AK,99611,"United Recovery Group, Llc",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,5,small,25,debt,west
Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Servicing, Payments, Escrow Account",Not Specified,MA,1473,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,211,enterprise,512,mortgage,northeast
Mortgage,Fha Mortgage,Settlement Process And Costs,Not Specified,CA,95207,"Caliber Home Loans, Inc",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,97,large,3859,mortgage,west
Debt Collection,Medical,Disclosure Verification Of Debt,Right To Dispute Notice Not Received,TX,78660,Medical Business Bureau,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,13,medium,2380,debt,south
Student Loan,Non-Federal Student Loan,Dealing With My Lender Or Servicer,Not Specified,IN,46062,Aes/Pheaa,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,72,large,298,loan,midwest
Mortgage,Other Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,HI,96825,Bank Of Hawaii,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,6,0,5,small,83,mortgage,west
Bank Account Or Service,Checking Account,Deposits And Withdrawals,Not Specified,CO,80219,Wells Fargo,Closed with monetary relief,Yes,No,2015,2,2,1,0,0,1,0,1430,enterprise,483,banking,west
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Terms,WA,99403,Transunion,In progress,Yes,No,2015,2,2,1,0,0,0,1,1525,enterprise,509,credit,west
Bank Account Or Service,Other Bank Product/Service,Deposits And Withdrawals,Not Specified,NV,89123,Capital One,In progress,Yes,No,2015,2,2,1,0,0,1,0,567,enterprise,351,banking,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Communication Tactics,Frequent Or Repeated Calls,OR,97415,"Diversified Consultants, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,14,0,71,large,337,debt,west
Mortgage,Va Mortgage,"Application, Originator, Mortgage Broker",Not Specified,CA,94587,"First Direct Lending, Llc",In progress,Yes,No,2015,2,2,1,0,0,0,1,1,small,3859,mortgage,west
Consumer Loan,Installment Loan,Managing The Loan Or Lease,Not Specified,WV,26386,"Scott Fetzer Financial Group, Inc.",Closed with monetary relief,Yes,No,2015,2,2,1,0,0,7,0,2,small,70,loan,south
Debt Collection,Credit Card,Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,MA,1970,Citibank,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,1016,enterprise,512,debt,northeast
Consumer Loan,Vehicle Loan,Problems When You Are Unable To Pay,Not Specified,TX,78552,"Westlake Services, Llc",Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,19,medium,2380,loan,south
Credit Card,Not Specified,Delinquent Account,Not Specified,PA,19136,Discover,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,368,enterprise,1055,credit,northeast
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Information Is Not Mine,CA,91701,Equifax,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,2049,enterprise,3859,credit,west
Mortgage,Va Mortgage,Credit Decision / Underwriting,Not Specified,NJ,8012,Nvr Inc,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,2,small,1113,mortgage,northeast
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,IL,60657,Collection Bureau Of America Ltd.,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,7,small,1003,debt,midwest
Debt Collection,Mortgage,Cont'D Attempts Collect Debt Not Owed,Debt Was Discharged In Bankruptcy,MA,2458,Citibank,In progress,Yes,No,2015,2,2,1,0,0,0,1,1016,enterprise,512,debt,northeast
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Status,GA,31313,"Applied Business Services, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,1,small,1146,credit,south
Credit Card,Not Specified,Customer Service / Customer Relations,Not Specified,AR,72751,Ge Capital Retail,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,481,enterprise,121,credit,south
Credit Card,Not Specified,Billing Disputes,Not Specified,SC,29577,Amex,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,270,enterprise,441,credit,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,WI,53548,"Malcolm S. Gerald And Associates, Inc.",Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,0,1,3,small,351,debt,midwest
Student Loan,Non-Federal Student Loan,Can'T Repay My Loan,Not Specified,MN,55423,Student Loan Finance Corporation,Closed with explanation,Yes,No,2015,2,2,1,0,0,7,0,2,small,311,loan,midwest
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Information Is Not Mine,CA,92649,Equifax,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,2049,enterprise,3859,credit,west
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CA,92672,"R.M. Galicia, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,13,medium,3859,debt,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Communication Tactics,Frequent Or Repeated Calls,OH,44017,"Capio Partners, Llc",Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,0,1,12,medium,939,debt,midwest
Debt Collection,Credit Card,Communication Tactics,Threatened To Take Legal Action,NJ,8010,"Dynia & Associates, Llc",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,11,medium,1113,debt,northeast
Mortgage,Fha Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,MA,1960,Bank Of America,In progress,Yes,No,2015,2,2,1,0,0,6,0,1518,enterprise,512,mortgage,northeast
Credit Card,Not Specified,Billing Disputes,Not Specified,FL,33774,Citibank,Closed with monetary relief,Yes,No,2015,2,2,1,0,0,6,0,1016,enterprise,2592,credit,south
Debt Collection,Credit Card,Communication Tactics,Threatened To Take Legal Action,NJ,8010,Second Round Limited Partnership,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,6,small,1113,debt,northeast
Credit Card,Not Specified,Closing/Cancelling Account,Not Specified,NY,11229,Discover,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,368,enterprise,1846,credit,northeast
Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,WI,53578,Wells Fargo,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,1430,enterprise,351,mortgage,midwest
Debt Collection,Payday Loan,Improper Contact Or Sharing Of Info,Contacted Me After I Asked Not To,CA,91709,Cng Financial Corporation,Closed with explanation,Yes,No,2015,2,2,1,0,0,7,0,48,medium,3859,debt,west
Credit Reporting,Not Specified,Credit Monitoring Or Identity Protection,Billing Dispute,LA,71129,Experian,Closed with monetary relief,Yes,No,2015,2,2,1,0,0,7,0,1940,enterprise,277,credit,south
Debt Collection,Payday Loan,Communication Tactics,Threatened To Take Legal Action,NM,87401,"Enova International, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,92,large,155,debt,west
Debt Collection,Credit Card,Improper Contact Or Sharing Of Info,Talked To A Third Party About My Debt,TX,79720,Wells Fargo,Untimely response,No,No,2015,2,2,1,0,0,6,0,1430,enterprise,2380,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,OH,43019,"Pinnacle Credit Services, Llc",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,64,large,939,debt,midwest
Debt Collection,Not Specified,Communication Tactics,Frequent Or Repeated Calls,CA,92392,"Portfolio Recovery Associates, Inc.",Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,0,1,229,enterprise,3859,debt,west
Credit Reporting,Not Specified,Credit Reporting Company'S Investigation,Problem With Statement Of Dispute,NY,12304,Equifax,In progress,Yes,No,2015,2,2,1,0,0,0,1,2049,enterprise,1846,credit,northeast
Credit Card,Not Specified,Bankruptcy,Not Specified,NC,27514,Bank Of America,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,1518,enterprise,764,credit,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NY,11229,Jpmorgan Chase,Closed with explanation,Yes,No,2015,2,2,1,0,0,7,0,1272,enterprise,1846,mortgage,northeast
Bank Account Or Service,Checking Account,"Account Opening, Closing, Or Management",Not Specified,NY,11801,Td Bank,Closed with explanation,Yes,No,2015,2,2,1,0,0,5,0,217,enterprise,1846,banking,northeast
Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,OH,45011,Citibank,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,1016,enterprise,939,mortgage,midwest
Mortgage,Other Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,NH,3105,Bank Of America,In progress,Yes,No,2015,2,2,1,0,0,6,0,1518,enterprise,111,mortgage,northeast
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,VA,22835,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,No,2015,2,2,1,0,0,7,0,211,enterprise,869,mortgage,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,VA,22835,Bank Of America,In progress,Yes,No,2015,2,2,1,0,0,6,0,1518,enterprise,869,mortgage,south
Bank Account Or Service,(Cd) Certificate Of Deposit,"Account Opening, Closing, Or Management",Not Specified,GA,30038,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,1430,enterprise,1146,banking,south
Bank Account Or Service,Checking Account,Problems Caused By My Funds Being Low,Not Specified,FL,33182,Bank Of America,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,1518,enterprise,2592,banking,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,PA,19018,Penn Credit Corporation,Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,23,medium,1055,debt,northeast
Bank Account Or Service,Checking Account,Deposits And Withdrawals,Not Specified,IN,46528,"Fnis (Fidelity National Information Services, Inc.)",Closed with explanation,Yes,Yes,2015,2,2,1,0,0,14,0,57,large,298,banking,midwest
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,TX,77067,Jpmorgan Chase,In progress,Yes,No,2015,2,2,1,0,0,6,0,1272,enterprise,2380,mortgage,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,PA,17402,Ocwen,Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,934,enterprise,1055,mortgage,northeast
Debt Collection,"Other (Phone, Health Club, Etc.)",Taking/Threatening An Illegal Action,Threatened To Sue On Too Old Debt,IL,60657,"First National Collection Bureau, Inc.",Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,40,medium,1003,debt,midwest
Debt Collection,Medical,Taking/Threatening An Illegal Action,Threatened Arrest/Jail If Do Not Pay,CO,80003,"Alpine Credit, Inc",Untimely response,No,No,2015,2,2,1,0,0,1,0,2,small,483,debt,west
Credit Card,Not Specified,Closing/Cancelling Account,Not Specified,OR,97132,Capital One,Closed with monetary relief,Yes,No,2015,2,2,1,0,0,0,1,567,enterprise,337,credit,west
Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,PA,17555,Wells Fargo,In progress,Yes,No,2015,2,2,1,0,0,1,0,1430,enterprise,1055,mortgage,northeast
Credit Card,Not Specified,Bankruptcy,Not Specified,NC,27514,Citibank,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,1016,enterprise,764,credit,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NH,3057,Jpmorgan Chase,In progress,Yes,No,2015,2,2,1,0,0,6,0,1272,enterprise,111,mortgage,northeast
Consumer Loan,Vehicle Loan,Shopping For A Loan Or Lease,Not Specified,FL,32311,"American Credit Acceptance, Llc",In progress,Yes,No,2015,2,2,1,0,0,6,0,8,small,2592,loan,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,PA,17404,Bank Of America,In progress,Yes,No,2015,2,2,1,0,0,6,0,1518,enterprise,1055,mortgage,northeast
Mortgage,Conventional Adjustable Mortgage (Arm),"Loan Servicing, Payments, Escrow Account",Not Specified,MI,48439,Ocwen,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,934,enterprise,694,mortgage,midwest
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,CO,80224,"Eos Holdings, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,83,large,483,debt,west
Debt Collection,"Other (Phone, Health Club, Etc.)",Communication Tactics,Frequent Or Repeated Calls,OH,44056,"Client Services, Inc.",Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,1,0,9,small,939,debt,midwest
Mortgage,Conventional Fixed Mortgage,"Loan Servicing, Payments, Escrow Account",Not Specified,Unknown,74432,"Triad Financial Services, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,1,small,421,mortgage,unknown
Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,TX,78130,Selene Finance,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,41,medium,2380,mortgage,south
Student Loan,Non-Federal Student Loan,Can'T Repay My Loan,Not Specified,GA,31419,Navient,In progress,Yes,No,2015,2,2,1,0,0,1,0,368,enterprise,1146,loan,south
Debt Collection,Medical,Cont'D Attempts Collect Debt Not Owed,Debt Was Paid,Unknown,86403,"Revsolve, Inc.",Untimely response,No,No,2015,2,2,1,0,0,6,0,3,small,421,debt,unknown
Debt Collection,Credit Card,Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,VA,22624,Fms Inc.,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,9,small,869,debt,south
Mortgage,Other Mortgage,Settlement Process And Costs,Not Specified,CA,91977,Ocwen,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,934,enterprise,3859,mortgage,west
Debt Collection,Credit Card,Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,VA,22624,Citibank,Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,1,0,1016,enterprise,869,debt,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,WA,98310,"Enhanced Recovery Company, Llc",Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,13,0,396,enterprise,509,debt,west
Credit Reporting,Not Specified,Credit Reporting Company'S Investigation,No Notice Of Investigation Status/Result,CA,93304,Experian,In progress,Yes,No,2015,2,2,1,0,0,0,1,1940,enterprise,3859,credit,west
Debt Collection,Medical,Disclosure Verification Of Debt,Not Disclosed As An Attempt To Collect,MD,21208,"Berks Credit And Collections, Inc.",Closed,Yes,No,2015,2,2,1,0,0,6,0,5,small,791,debt,south
Mortgage,Conventional Fixed Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NJ,7006,Bb&T Financial,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,90,large,1113,mortgage,northeast
Credit Card,Not Specified,Advertising And Marketing,Not Specified,CA,92131,Jpmorgan Chase,Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,1,0,1272,enterprise,3859,credit,west
Mortgage,Fha Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,PA,19114,Citibank,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,1016,enterprise,1055,mortgage,northeast
Consumer Loan,Installment Loan,Shopping For A Loan Or Lease,Not Specified,TN,37115,U.S. Bancorp,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,429,enterprise,473,loan,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Reinserted Previously Deleted Info,CA,95948,Equifax,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,7,0,2049,enterprise,3859,credit,west
Mortgage,Conventional Fixed Mortgage,"Application, Originator, Mortgage Broker",Not Specified,GA,30058,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,1430,enterprise,1146,mortgage,south
Debt Collection,Medical,Disclosure Verification Of Debt,Not Given Enough Info To Verify Debt,RI,2878,"Action Collection Agencies, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,6,0,3,small,89,debt,northeast
Credit Card,Not Specified,Billing Statement,Not Specified,FL,33069,Discover,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,1,0,368,enterprise,2592,credit,south
Debt Collection,Medical,False Statements Or Representation,Attempted To Collect Wrong Amount,FL,32809,"Adler Wallach & Associates, Inc.",Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,9,small,2592,debt,south
Bank Account Or Service,Checking Account,"Making/Receiving Payments, Sending Money",Not Specified,CA,90255,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,7,0,1430,enterprise,3859,banking,west
Debt Collection,Credit Card,Communication Tactics,Used Obscene/Profane/Abusive Language,FL,33556,"Cavalry Investments, Llc",Closed with explanation,Yes,No,2015,2,2,1,0,0,0,1,50,medium,2592,debt,south
Mortgage,Other Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,TX,75048,Nationstar Mortgage,In progress,Yes,No,2015,2,2,1,0,0,6,0,749,enterprise,2380,mortgage,south
Student Loan,Non-Federal Student Loan,Can'T Repay My Loan,Not Specified,FL,33578,Wells Fargo,Closed with explanation,Yes,No,2015,2,2,1,0,0,1,0,1430,enterprise,2592,loan,south
Credit Reporting,Not Specified,Incorrect Information On Credit Report,Account Terms,FL,32952,Experian,In progress,Yes,No,2015,2,2,1,0,0,6,0,1940,enterprise,2592,credit,south
Debt Collection,"Other (Phone, Health Club, Etc.)",Cont'D Attempts Collect Debt Not Owed,Debt Is Not Mine,FL,33311,"Enhanced Recovery Company, Llc",Closed with non-monetary relief,Yes,No,2015,2,2,1,0,0,0,1,396,enterprise,2592,debt,south
Mortgage,Conventional Fixed Mortgage,"Loan Modification,Collection,Foreclosure",Not Specified,NV,89128,"Green Tree Servicing, Llc",In progress,Yes,No,2015,2,2,1,0,0,7,0,399,enterprise,351,mortgage,west
Credit Card,Not Specified,Late Fee,Not Specified,TX,75093,Citibank,Closed with explanation,Yes,Yes,2015,2,2,1,0,0,0,1,1016,enterprise,2380,credit,south
